KEY_FLT,STATUS,OCCAS,ESCALE (IATA),DATE,ROUTE_AC,FLT,TYPE,REG,FC,AC,CHR,DEP,ARR,STD,STA,ETD,ETA,TKof,TDwn,ST,ATD,ATA,BLOCK,FLThr,C1,DLY1,Sub1,C2,DLY2,Sub2,C3,DLY3,Sub3,C4,DLY4,Sub4,C5,DLY5,Sub5,C6,DLY6,Sub6,C7,DLY7,Sub7,C8,DLY8,Sub8,C1A,DLY1A,Sub9,C2A,DLY2A,Sb10,Cargo,Mail,Payld,Bags,EXP PAX F,EXP PAX C,EXP PAX Y,EXP PAX INF,ACT PAX F,ACT PAX C,ACT PAX Y,ACT PAX INF,EXP TTL,PAX TTL,SEATS TTL,LF %,AC CONFIG1,AC CONFIG2,AC CONFIG3,AC CONFIG4,Log_Page#,Character Seats F,Character Seats C,Character Seats Y,Character Seats INF,Code Share and Seats F,Code Share and Seats C,Code Share and Seats Y,Code Share and Seats INF,Dist,DStand,AStand,Change reason,Init,Uplf W,Ramp,Stdn,Burn,Uplf V,USG/LTS,Tank,ZFW,FPBurn,SGrav,Miles,Rt base,DGate,AGate,Orig.ARR Station,D.Closed,ch_type_app,ch_std,ch_dest,ch_config,FI_FILE
0304216006ALG,/,/,"",03/04/21,6006,6006,J,7TVKH,  ,B738,  ,ALG,AAE,18:30,19:30,0:00 ,0:00 ,0:00 ,0:00 ,"",0:00 ,0:00 ,1:00 ,0:40 ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,0,0,0,0,0,   0,   0,   0,0,   0,   0,   0,0,0,148,0,16,0,132,0,"",0,0,0,0,"","","","",410,	,	,"",0,0,0,0,0,0,Lts,0,0,0,0.0	,0,ALG,	,	,"",0:00	,"","","","",2021-04-03 14:15:00
0304216007AAE,/,/,"",03/04/21,6006,6007,J,7TVKI,  ,B738,  ,AAE,ALG,7:15 ,8:15 ,0:00 ,0:00 ,7:10 ,8:00 ,"",7:00 ,8:05 ,1:05 ,0:50 ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,0,0,0,812,0,   0,   0,   0,0,  11, 119,   4,0,134,148,91,16,0,132,0,"",0,0,0,0,"","","","",410,	,	,"",0,0,0,0,0,0,Lts,0,0,0,0.0	,0,ALG,	,	,"",0:00	,"","","","",2021-04-03 14:15:00
0304216026ALG,/,/,"",03/04/21,6026,6026,J,7TVJP,  ,B738,  ,ALG,CZL,18:40,19:30,0:00 ,0:00 ,0:00 ,0:00 ,"",0:00 ,0:00 ,0:50 ,0:30 ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,0,0,0,0,0,   0,   0,   0,0,   0,   0,   0,0,0,148,0,16,0,132,0,"",0,0,0,0,"","","","",308,	,	,"",0,0,0,0,0,0,Lts,0,0,0,0.0	,0,ALG,	,	,"",0:00	,"","","","",2021-04-03 14:15:00
0304216027CZL,/,/,"",03/04/21,6026,6027,J,7TVKJ,  ,B738,  ,CZL,ALG,7:20 ,8:10 ,0:00 ,7:45 ,7:08 ,7:50 ,"",7:03 ,7:55 ,0:52 ,0:42 ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,0,0,0,393,0,   0,   0,   0,0,   2,  86,   1,0,89,148,60,16,0,132,0,"",0,0,0,0,"","","","",308,	,	,"",0,0,0,0,0,0,Lts,0,0,0,0.0	,0,ALG,	,	,"",0:00	,"","","","",2021-04-03 14:15:00
0304216028ALG,/,/,"",03/04/21,6028,6028,J,7TVUQ,  ,AT72,  ,ALG,CZL,9:10 ,10:15,0:00 ,10:25,9:20 ,10:10,"",9:14 ,10:15,1:01 ,0:50 ,99,0:04 ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,0,0,0,335,0,   0,   0,   0,0,   0,  62,   2,0,64,66,97,0,0,66,0,"",0,0,0,0,"","","","",308,	,	,"",0,0,0,0,0,0,Lts,0,0,0,0.0	,0,ALG,	,	,"",0:00	,"","","","",2021-04-03 14:15:00
0304216042ALG,/,/,"",03/04/21,6042,6042,J,7TVJT,  ,B736,  ,ALG,BSK,9:50 ,10:40,0:00 ,10:35,9:50 ,10:34,"",9:45 ,10:45,1:00 ,0:44 ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,99,0:05 ,    ,"",     ,    ,0,0,0,886,0,   0,   0,   0,0,  13,  86,   6,0,105,102,103,16,0,86,0,"",0,0,0,0,"","","","",311,	,	,"",0,0,0,0,0,0,Lts,0,0,0,0.0	,0,ALG,	,	,"",0:00	,"","","","",2021-04-03 14:15:00
0304216043BSK,/,/,"",03/04/21,6042,6043,J,7TVJT,  ,B736,  ,BSK,ALG,11:40,12:30,11:45,12:30,11:50,0:00 ,"",11:44,0:00 ,0:46 ,0:40 ,93,0:04 ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,0,0,0,0,0,   0,   0,   0,0,  16,  86,   6,0,108,102,106,16,0,86,0,"",0,0,0,0,"","","","",311,	,	,"",0,0,0,0,0,0,Lts,0,0,0,0.0	,0,ALG,	,	,"",0:00	,"","","","",2021-04-03 14:15:00
0304216056ALG,/,/,"",03/04/21,6056,6056,J,7TVJS,  ,B736,  ,ALG,GJL,13:50,14:45,0:00 ,0:00 ,0:00 ,0:00 ,"",0:00 ,0:00 ,0:55 ,0:35 ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,0,0,0,0,0,   0,   0,   0,0,   0,   0,   0,0,0,102,0,16,0,86,0,"",0,0,0,0,"","","","",238,	,	,"",0,0,0,0,0,0,Lts,0,0,0,0.0	,0,ALG,	,	,"",0:00	,"","","","",2021-04-03 14:15:00
0304216057GJL,/,/,"",03/04/21,6056,6057,J,7TVJS,  ,B736,  ,GJL,ALG,15:45,16:40,0:00 ,0:00 ,0:00 ,0:00 ,"",0:00 ,0:00 ,0:55 ,0:35 ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,0,0,0,0,0,   0,   0,   0,0,   0,   0,   0,0,0,102,0,16,0,86,0,"",0,0,0,0,"","","","",238,	,	,"",0,0,0,0,0,0,Lts,0,0,0,0.0	,0,ALG,	,	,"",0:00	,"","","","",2021-04-03 14:15:00
260121GJW46BMAD,/,OCCAS,GHA,2021-01-26 00:00:00,,,, P4EBO,,B737-400,,MAD,,13:35:00,12:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
