ID,KEY_FLT,ch_type_app,ch_std,ch_dest,ch_config,Aircraft_Type_x,Aircraft_Type_y,STD_UTC_x,STD_UTC_y,Arrival_Station_x,Arrival_Station_y,Aircraft_Configuration_x,Aircraft_Configuration_y
1,0104216027CZL,,02MAR2101MAR22,,,73H,73H,0725,0720,ALG,ALG,F16Y132             ,F16Y132             
2,0104216107ORN,,02MAR2101MAR22,,,73H,73H,0700,0645,ALG,ALG,F16Y132             ,F16Y132             
3,0203216201GHA,,02MAR2101MAR22,,,AT7,AT7,0715,0800,ALG,ALG,Y66                 ,Y66                 
4,0205216156ALG,03MAR2102MAR22,,,03MAR2102MAR22,73H,736,1000,1000,TMX,TMX,F16Y132             ,F16Y85              
5,0205216157TMX,03MAR2102MAR22,,,03MAR2102MAR22,73H,736,1230,1230,ALG,ALG,F16Y132             ,F16Y85              
6,0303216027CZL,03MAR2102MAR22,,,03MAR2102MAR22,73H,736,0720,0720,ALG,ALG,F16Y132             ,F16Y85              
7,0305216120ALG,03MAR2102MAR22,,,03MAR2102MAR22,73H,736,1300,1300,TLM,TLM,F16Y132             ,F16Y85              
8,0305216121TLM,03MAR2102MAR22,,,03MAR2102MAR22,73H,736,1500,1500,ALG,ALG,F16Y132             ,F16Y85              
9,0505216156ALG,03MAR2102MAR22,,,03MAR2102MAR22,73H,736,1230,1230,TMX,TMX,F16Y132             ,F16Y85              
10,0505216157TMX,03MAR2102MAR22,,,03MAR2102MAR22,73H,736,1500,1500,ALG,ALG,F16Y132             ,F16Y85              
11,1103216132ALG,03MAR2102MAR22,,,03MAR2102MAR22,AT7,736,1000,1000,CBH,CBH,Y66                 ,F16Y85              
12,1103216133CBH,03MAR2102MAR22,03MAR2102MAR22,,03MAR2102MAR22,AT7,736,1305,1230,ALG,ALG,Y66                 ,F16Y85              
13,1203216252ALG,03MAR2102MAR22,,,03MAR2102MAR22,AT7,736,1300,1300,ELU,ELU,Y66                 ,F16Y85              
14,1203216253ELU,03MAR2102MAR22,03MAR2102MAR22,,03MAR2102MAR22,AT7,736,1515,1500,ALG,ALG,Y66                 ,F16Y85              
15,1204216120ALG,03MAR2102MAR22,,,03MAR2102MAR22,73H,736,1300,1300,TLM,TLM,F16Y132             ,F16Y85              
16,1204216121TLM,03MAR2102MAR22,,,03MAR2102MAR22,73H,736,1500,1500,ALG,ALG,F16Y132             ,F16Y85              
17,1303216132ALG,03MAR2102MAR22,,,03MAR2102MAR22,AT7,736,0900,0900,CBH,CBH,Y66                 ,F16Y85              
18,1303216133CBH,03MAR2102MAR22,03MAR2102MAR22,,03MAR2102MAR22,AT7,736,1205,1130,ALG,ALG,Y66                 ,F16Y85              
19,1303216252ALG,03MAR2102MAR22,,,03MAR2102MAR22,AT7,736,0935,0935,ELU,ELU,Y66                 ,F16Y85              
20,1303216253ELU,03MAR2102MAR22,03MAR2102MAR22,,03MAR2102MAR22,AT7,736,1150,1135,ALG,ALG,Y66                 ,F16Y85              
21,1303216292ALG,03MAR2102MAR22,,,,736,73H,0905,0905,DJG,DJG,F16Y86              ,F16Y86              
22,1303216292TMR,03MAR2102MAR22,,,,736,73H,1410,1410,ALG,ALG,F16Y86              ,F16Y86              
23,1303216292DJG,03MAR2102MAR22,,,,736,73H,1220,1220,TMR,TMR,F16Y86              ,F16Y86              
24,1403216252ALG,03MAR2102MAR22,,,03MAR2102MAR22,AT7,736,1150,1150,ELU,ELU,Y66                 ,F16Y85              
25,1403216253ELU,03MAR2102MAR22,03MAR2102MAR22,,03MAR2102MAR22,AT7,736,1405,1350,ALG,ALG,Y66                 ,F16Y85              
26,1404216156ALG,03MAR2102MAR22,,,03MAR2102MAR22,73H,736,1230,1230,TMX,TMX,F16Y132             ,F16Y85              
27,1404216157TMX,03MAR2102MAR22,,,03MAR2102MAR22,73H,736,1500,1500,ALG,ALG,F16Y132             ,F16Y85              
28,1604216038ALG,03MAR2102MAR22,,,03MAR2102MAR22,736,AT7,1340,1340,BLJ,BLJ,F16Y85              ,Y66                 
29,1604216039BLJ,03MAR2102MAR22,03MAR2102MAR22,,03MAR2102MAR22,736,AT7,1530,1545,ALG,ALG,F16Y85              ,Y66                 
30,1803216132ALG,03MAR2102MAR22,,,03MAR2102MAR22,AT7,736,1000,1000,CBH,CBH,Y66                 ,F16Y85              
31,1803216133CBH,03MAR2102MAR22,03MAR2102MAR22,,03MAR2102MAR22,AT7,736,1305,1230,ALG,ALG,Y66                 ,F16Y85              
32,1803216486VVZ,03MAR2102MAR22,,,03MAR2102MAR22,736,73H,1100,1100,DJG,DJG,F16Y86              ,F16Y132             
33,1803216486ALG,03MAR2102MAR22,,,03MAR2102MAR22,736,73H,0805,0805,VVZ,VVZ,F16Y86              ,F16Y132             
34,1803216487DJG,03MAR2102MAR22,,,03MAR2102MAR22,736,73H,1245,1245,ALG,ALG,F16Y86              ,F16Y132             
35,1804216156ALG,03MAR2102MAR22,,,03MAR2102MAR22,73H,736,1000,1000,TMX,TMX,F16Y132             ,F16Y85              
36,1804216157TMX,03MAR2102MAR22,,,03MAR2102MAR22,73H,736,1230,1230,ALG,ALG,F16Y132             ,F16Y85              
37,1903216252ALG,03MAR2102MAR22,,,03MAR2102MAR22,AT7,736,1300,1300,ELU,ELU,Y66                 ,F16Y85              
38,1903216253ELU,03MAR2102MAR22,03MAR2102MAR22,,03MAR2102MAR22,AT7,736,1515,1500,ALG,ALG,Y66                 ,F16Y85              
39,1904216120ALG,03MAR2102MAR22,,,03MAR2102MAR22,73H,736,1300,1300,TLM,TLM,F16Y132             ,F16Y85              
40,1904216121TLM,03MAR2102MAR22,,,03MAR2102MAR22,73H,736,1500,1500,ALG,ALG,F16Y132             ,F16Y85              
41,2003216132ALG,03MAR2102MAR22,,,03MAR2102MAR22,AT7,736,0900,0900,CBH,CBH,Y66                 ,F16Y85              
42,2003216133CBH,03MAR2102MAR22,03MAR2102MAR22,,03MAR2102MAR22,AT7,736,1205,1130,ALG,ALG,Y66                 ,F16Y85              
43,2003216252ALG,03MAR2102MAR22,,,03MAR2102MAR22,AT7,736,0945,0945,ELU,ELU,Y66                 ,F16Y85              
44,2003216253ELU,03MAR2102MAR22,03MAR2102MAR22,,03MAR2102MAR22,AT7,736,1200,1145,ALG,ALG,Y66                 ,F16Y85              
45,2003216292TMR,03MAR2102MAR22,,,,736,73H,1410,1410,ALG,ALG,F16Y86              ,F16Y86              
46,2003216292DJG,03MAR2102MAR22,,,,736,73H,1220,1220,TMR,TMR,F16Y86              ,F16Y86              
47,2003216292ALG,03MAR2102MAR22,,,,736,73H,0905,0905,DJG,DJG,F16Y86              ,F16Y86              
48,2103216252ALG,03MAR2102MAR22,,,03MAR2102MAR22,AT7,736,1150,1150,ELU,ELU,Y66                 ,F16Y85              
49,2103216253ELU,03MAR2102MAR22,03MAR2102MAR22,,03MAR2102MAR22,AT7,736,1405,1350,ALG,ALG,Y66                 ,F16Y85              
50,2104216156ALG,03MAR2102MAR22,,,03MAR2102MAR22,73H,736,1230,1230,TMX,TMX,F16Y132             ,F16Y85              
51,2104216157TMX,03MAR2102MAR22,,,03MAR2102MAR22,73H,736,1500,1500,ALG,ALG,F16Y132             ,F16Y85              
52,2304216038ALG,03MAR2102MAR22,,,03MAR2102MAR22,736,AT7,1340,1340,BLJ,BLJ,F16Y85              ,Y66                 
53,2304216039BLJ,03MAR2102MAR22,03MAR2102MAR22,,03MAR2102MAR22,736,AT7,1530,1545,ALG,ALG,F16Y85              ,Y66                 
54,2504216156ALG,03MAR2102MAR22,,,03MAR2102MAR22,73H,736,1000,1000,TMX,TMX,F16Y132             ,F16Y85              
55,2504216157TMX,03MAR2102MAR22,,,03MAR2102MAR22,73H,736,1230,1230,ALG,ALG,F16Y132             ,F16Y85              
56,2604216120ALG,03MAR2102MAR22,,,03MAR2102MAR22,73H,736,1300,1300,TLM,TLM,F16Y132             ,F16Y85              
57,2604216121TLM,03MAR2102MAR22,,,03MAR2102MAR22,73H,736,1500,1500,ALG,ALG,F16Y132             ,F16Y85              
58,2804216156ALG,03MAR2102MAR22,,,03MAR2102MAR22,73H,736,1230,1230,TMX,TMX,F16Y132             ,F16Y85              
59,2804216157TMX,03MAR2102MAR22,,,03MAR2102MAR22,73H,736,1500,1500,ALG,ALG,F16Y132             ,F16Y85              
60,3004216038ALG,03MAR2102MAR22,,,03MAR2102MAR22,736,AT7,1340,1340,BLJ,BLJ,F16Y85              ,Y66                 
61,3004216039BLJ,03MAR2102MAR22,03MAR2102MAR22,,03MAR2102MAR22,736,AT7,1530,1545,ALG,ALG,F16Y85              ,Y66                 
62,0105216006ALG,,04MAR2103MAR22,,,73H,73H,1830,1700,AAE,AAE,F16Y132             ,F16Y132             
63,0105216026ALG,,04MAR2103MAR22,,,73H,73H,1840,1715,CZL,CZL,F16Y132             ,F16Y132             
64,0105216106ALG,,04MAR2103MAR22,,,73H,73H,1830,1730,ORN,ORN,F16Y132             ,F16Y132             
65,0205216006ALG,,04MAR2103MAR22,,,73H,73H,1800,1700,AAE,AAE,F16Y132             ,F16Y132             
66,0205216026ALG,,04MAR2103MAR22,,,73H,73H,1815,1715,CZL,CZL,F16Y132             ,F16Y132             
67,0205216106ALG,,04MAR2103MAR22,,,73H,73H,1845,1730,ORN,ORN,F16Y132             ,F16Y132             
68,0305216006ALG,,04MAR2103MAR22,,,73H,73H,1800,1700,AAE,AAE,F16Y132             ,F16Y132             
69,0305216026ALG,,04MAR2103MAR22,,,73H,73H,1815,1715,CZL,CZL,F16Y132             ,F16Y132             
70,0305216106ALG,,04MAR2103MAR22,,,73H,73H,1830,1730,ORN,ORN,F16Y132             ,F16Y132             
71,0403216107ORN,,,04MAR2103MAR22,,73H,73H,0645,0645,ALG,ORN,F16Y132             ,F16Y132             
72,0403216107ORN,,,04MAR2103MAR22,,73H,73H,0645,0645,ALG,ORN,F16Y132             ,F16Y132             
73,0403216201GHA,,04MAR2103MAR22,,,AT7,AT7,0715,0905,ALG,ALG,Y66                 ,Y66                 
74,0403216477EBH,,,04MAR2103MAR22,,AT7,AT7,1200,1200,ALG,ORN,Y66                 ,Y66                 
75,0405216006ALG,,04MAR2103MAR22,,,73H,73H,1800,1700,AAE,AAE,F16Y132             ,F16Y132             
76,0405216026ALG,,04MAR2103MAR22,,,73H,73H,1815,1715,CZL,CZL,F16Y132             ,F16Y132             
77,0405216106ALG,,04MAR2103MAR22,,,73H,73H,1845,1730,ORN,ORN,F16Y132             ,F16Y132             
78,0503216334VVZ,04MAR2103MAR22,,,,736,73H,0955,0955,TMR,TMR,F16Y86              ,F16Y86              
79,0503216334ALG,04MAR2103MAR22,,,,736,73H,0700,0700,VVZ,VVZ,F16Y86              ,F16Y86              
80,0503216335TMR,04MAR2103MAR22,,,,736,73H,1200,1200,VVZ,VVZ,F16Y86              ,F16Y86              
81,0503216335VVZ,04MAR2103MAR22,,,,736,73H,1400,1400,ALG,ALG,F16Y86              ,F16Y86              
82,0505216006ALG,,04MAR2103MAR22,,,73H,73H,1815,1700,AAE,AAE,F16Y132             ,F16Y132             
83,0505216026ALG,,04MAR2103MAR22,,,73H,73H,1815,1715,CZL,CZL,F16Y132             ,F16Y132             
84,0505216106ALG,,04MAR2103MAR22,,,73H,73H,1845,1730,ORN,ORN,F16Y132             ,F16Y132             
85,0605216006ALG,,04MAR2103MAR22,,,73H,73H,1830,1700,AAE,AAE,F16Y132             ,F16Y132             
86,0605216026ALG,,04MAR2103MAR22,,,73H,73H,1815,1715,CZL,CZL,F16Y132             ,F16Y132             
87,0605216106ALG,,04MAR2103MAR22,,,73H,73H,1830,1730,ORN,ORN,F16Y132             ,F16Y132             
88,1204216006ALG,,04MAR2103MAR22,,,73H,73H,1800,1700,AAE,AAE,F16Y132             ,F16Y132             
89,1204216026ALG,,04MAR2103MAR22,,,73H,73H,1815,1715,CZL,CZL,F16Y132             ,F16Y132             
90,1204216106ALG,,04MAR2103MAR22,,,73H,73H,1830,1730,ORN,ORN,F16Y132             ,F16Y132             
91,1304216006ALG,,04MAR2103MAR22,,,73H,73H,1800,1700,AAE,AAE,F16Y132             ,F16Y132             
92,1304216026ALG,,04MAR2103MAR22,,,73H,73H,1815,1715,CZL,CZL,F16Y132             ,F16Y132             
93,1304216106ALG,,04MAR2103MAR22,,,73H,73H,1845,1730,ORN,ORN,F16Y132             ,F16Y132             
94,1404216006ALG,,04MAR2103MAR22,,,73H,73H,1815,1700,AAE,AAE,F16Y132             ,F16Y132             
95,1404216026ALG,,04MAR2103MAR22,,,73H,73H,1815,1715,CZL,CZL,F16Y132             ,F16Y132             
96,1404216106ALG,,04MAR2103MAR22,,,73H,73H,1845,1730,ORN,ORN,F16Y132             ,F16Y132             
97,1504216006ALG,,04MAR2103MAR22,,,73H,73H,1830,1700,AAE,AAE,F16Y132             ,F16Y132             
98,1504216026ALG,,04MAR2103MAR22,,,73H,73H,1815,1715,CZL,CZL,F16Y132             ,F16Y132             
99,1504216106ALG,,04MAR2103MAR22,,,73H,73H,1830,1730,ORN,ORN,F16Y132             ,F16Y132             
100,1604216006ALG,,04MAR2103MAR22,,,73H,73H,1800,1700,AAE,AAE,F16Y132             ,F16Y132             
101,1604216026ALG,,04MAR2103MAR22,,,73H,73H,1815,1715,CZL,CZL,F16Y132             ,F16Y132             
102,1604216106ALG,,04MAR2103MAR22,,,73H,73H,1845,1730,ORN,ORN,F16Y132             ,F16Y132             
103,1704216006ALG,,04MAR2103MAR22,,,73H,73H,1830,1700,AAE,AAE,F16Y132             ,F16Y132             
104,1704216026ALG,,04MAR2103MAR22,,,73H,73H,1840,1715,CZL,CZL,F16Y132             ,F16Y132             
105,1704216106ALG,,04MAR2103MAR22,,,73H,73H,1830,1730,ORN,ORN,F16Y132             ,F16Y132             
106,1804216006ALG,,04MAR2103MAR22,,,73H,73H,1800,1700,AAE,AAE,F16Y132             ,F16Y132             
107,1804216026ALG,,04MAR2103MAR22,,,73H,73H,1815,1715,CZL,CZL,F16Y132             ,F16Y132             
108,1804216106ALG,,04MAR2103MAR22,,,73H,73H,1845,1730,ORN,ORN,F16Y132             ,F16Y132             
109,1903216252ALG,04MAR2103MAR22,,,04MAR2103MAR22,736,73H,1300,1300,ELU,ELU,F16Y85              ,F16Y132             
110,1903216253ELU,04MAR2103MAR22,,,04MAR2103MAR22,736,73H,1500,1500,ALG,ALG,F16Y85              ,F16Y132             
111,1904216006ALG,,04MAR2103MAR22,,,73H,73H,1800,1700,AAE,AAE,F16Y132             ,F16Y132             
112,1904216026ALG,,04MAR2103MAR22,,,73H,73H,1815,1715,CZL,CZL,F16Y132             ,F16Y132             
113,1904216106ALG,,04MAR2103MAR22,,,73H,73H,1830,1730,ORN,ORN,F16Y132             ,F16Y132             
114,2004216006ALG,,04MAR2103MAR22,,,73H,73H,1800,1700,AAE,AAE,F16Y132             ,F16Y132             
115,2004216026ALG,,04MAR2103MAR22,,,73H,73H,1815,1715,CZL,CZL,F16Y132             ,F16Y132             
116,2004216106ALG,,04MAR2103MAR22,,,73H,73H,1845,1730,ORN,ORN,F16Y132             ,F16Y132             
117,2104216006ALG,,04MAR2103MAR22,,,73H,73H,1815,1700,AAE,AAE,F16Y132             ,F16Y132             
118,2104216026ALG,,04MAR2103MAR22,,,73H,73H,1815,1715,CZL,CZL,F16Y132             ,F16Y132             
119,2104216106ALG,,04MAR2103MAR22,,,73H,73H,1845,1730,ORN,ORN,F16Y132             ,F16Y132             
120,2204216006ALG,,04MAR2103MAR22,,,73H,73H,1830,1700,AAE,AAE,F16Y132             ,F16Y132             
121,2204216026ALG,,04MAR2103MAR22,,,73H,73H,1815,1715,CZL,CZL,F16Y132             ,F16Y132             
122,2204216106ALG,,04MAR2103MAR22,,,73H,73H,1830,1730,ORN,ORN,F16Y132             ,F16Y132             
123,2304216006ALG,,04MAR2103MAR22,,,73H,73H,1800,1700,AAE,AAE,F16Y132             ,F16Y132             
124,2304216026ALG,,04MAR2103MAR22,,,73H,73H,1815,1715,CZL,CZL,F16Y132             ,F16Y132             
125,2304216106ALG,,04MAR2103MAR22,,,73H,73H,1845,1730,ORN,ORN,F16Y132             ,F16Y132             
126,2404216006ALG,,04MAR2103MAR22,,,73H,73H,1830,1700,AAE,AAE,F16Y132             ,F16Y132             
127,2404216026ALG,,04MAR2103MAR22,,,73H,73H,1840,1715,CZL,CZL,F16Y132             ,F16Y132             
128,2404216106ALG,,04MAR2103MAR22,,,73H,73H,1830,1730,ORN,ORN,F16Y132             ,F16Y132             
129,2504216006ALG,,04MAR2103MAR22,,,73H,73H,1800,1700,AAE,AAE,F16Y132             ,F16Y132             
130,2504216026ALG,,04MAR2103MAR22,,,73H,73H,1815,1715,CZL,CZL,F16Y132             ,F16Y132             
131,2504216106ALG,,04MAR2103MAR22,,,73H,73H,1845,1730,ORN,ORN,F16Y132             ,F16Y132             
132,2604216006ALG,,04MAR2103MAR22,,,73H,73H,1800,1700,AAE,AAE,F16Y132             ,F16Y132             
133,2604216026ALG,,04MAR2103MAR22,,,73H,73H,1815,1715,CZL,CZL,F16Y132             ,F16Y132             
134,2604216106ALG,,04MAR2103MAR22,,,73H,73H,1830,1730,ORN,ORN,F16Y132             ,F16Y132             
135,2704216006ALG,,04MAR2103MAR22,,,73H,73H,1800,1700,AAE,AAE,F16Y132             ,F16Y132             
136,2704216026ALG,,04MAR2103MAR22,,,73H,73H,1815,1715,CZL,CZL,F16Y132             ,F16Y132             
137,2704216106ALG,,04MAR2103MAR22,,,73H,73H,1845,1730,ORN,ORN,F16Y132             ,F16Y132             
138,2804216006ALG,,04MAR2103MAR22,,,73H,73H,1815,1700,AAE,AAE,F16Y132             ,F16Y132             
139,2804216026ALG,,04MAR2103MAR22,,,73H,73H,1815,1715,CZL,CZL,F16Y132             ,F16Y132             
140,2804216106ALG,,04MAR2103MAR22,,,73H,73H,1845,1730,ORN,ORN,F16Y132             ,F16Y132             
141,2904216006ALG,,04MAR2103MAR22,,,73H,73H,1830,1700,AAE,AAE,F16Y132             ,F16Y132             
142,2904216026ALG,,04MAR2103MAR22,,,73H,73H,1815,1715,CZL,CZL,F16Y132             ,F16Y132             
143,2904216106ALG,,04MAR2103MAR22,,,73H,73H,1830,1730,ORN,ORN,F16Y132             ,F16Y132             
144,3004216006ALG,,04MAR2103MAR22,,,73H,73H,1800,1700,AAE,AAE,F16Y132             ,F16Y132             
145,3004216026ALG,,04MAR2103MAR22,,,73H,73H,1815,1715,CZL,CZL,F16Y132             ,F16Y132             
146,3004216106ALG,,04MAR2103MAR22,,,73H,73H,1845,1730,ORN,ORN,F16Y132             ,F16Y132             
147,0603216184ALG,05MAR2104MAR22,,,05MAR2104MAR22,736,73H,1400,1400,ORN,ORN,F16Y85              ,F16Y132             
148,0603216185ORN,05MAR2104MAR22,,,05MAR2104MAR22,736,73H,1600,1600,ALG,ALG,F16Y85              ,F16Y132             
149,0603216170ALG,,,06MAR2105MAR22,,AT7,AT7,0715,0715,AAE,ALG,Y66                 ,Y66                 
150,0703216180ALG,,06MAR2105MAR22,,,AT7,AT7,0740,0915,ORN,ORN,Y66                 ,Y66                 
151,0703216181ORN,,06MAR2105MAR22,,,AT7,AT7,0945,1120,ALG,ALG,Y66                 ,Y66                 
152,0703216185ORN,07MAR2106MAR22,,,07MAR2106MAR22,736,73H,1645,1645,ALG,ALG,F16Y85              ,F16Y132             
153,0705216006ALG,,07MAR2106MAR22,,,73H,73H,1800,1700,AAE,AAE,F16Y132             ,F16Y132             
154,0705216026ALG,,07MAR2106MAR22,,,73H,73H,1815,1715,CZL,CZL,F16Y132             ,F16Y132             
155,0705216106ALG,,07MAR2106MAR22,,,73H,73H,1845,1730,ORN,ORN,F16Y132             ,F16Y132             
156,0803216107ORN,07MAR2106MAR22,,,07MAR2106MAR22,73H,736,0700,0700,ALG,ALG,F16Y132             ,F16Y85              
157,0805216006ALG,,07MAR2106MAR22,,,73H,73H,1830,1700,AAE,AAE,F16Y132             ,F16Y132             
158,0805216026ALG,,07MAR2106MAR22,,,73H,73H,1840,1715,CZL,CZL,F16Y132             ,F16Y132             
159,0805216106ALG,,07MAR2106MAR22,,,73H,73H,1830,1730,ORN,ORN,F16Y132             ,F16Y132             
160,0905216006ALG,,07MAR2106MAR22,,,73H,73H,1800,1700,AAE,AAE,F16Y132             ,F16Y132             
161,0905216026ALG,,07MAR2106MAR22,,,73H,73H,1815,1715,CZL,CZL,F16Y132             ,F16Y132             
162,0905216106ALG,,07MAR2106MAR22,,,73H,73H,1845,1730,ORN,ORN,F16Y132             ,F16Y132             
163,1005216006ALG,,07MAR2106MAR22,,,73H,73H,1800,1700,AAE,AAE,F16Y132             ,F16Y132             
164,1005216026ALG,,07MAR2106MAR22,,,73H,73H,1815,1715,CZL,CZL,F16Y132             ,F16Y132             
165,1005216106ALG,,07MAR2106MAR22,,,73H,73H,1830,1730,ORN,ORN,F16Y132             ,F16Y132             
166,1105216006ALG,,07MAR2106MAR22,,,73H,73H,1800,1700,AAE,AAE,F16Y132             ,F16Y132             
167,1105216026ALG,,07MAR2106MAR22,,,73H,73H,1815,1715,CZL,CZL,F16Y132             ,F16Y132             
168,1105216106ALG,,07MAR2106MAR22,,,73H,73H,1845,1730,ORN,ORN,F16Y132             ,F16Y132             
169,1205216006ALG,,07MAR2106MAR22,,,73H,73H,1815,1700,AAE,AAE,F16Y132             ,F16Y132             
170,1205216026ALG,,07MAR2106MAR22,,,73H,73H,1815,1715,CZL,CZL,F16Y132             ,F16Y132             
171,1205216106ALG,,07MAR2106MAR22,,,73H,73H,1845,1730,ORN,ORN,F16Y132             ,F16Y132             
172,0105216026ALG,,08MAR2107MAR22,,,73H,73H,1715,1620,CZL,CZL,F16Y132             ,F16Y132             
173,0105216027CZL,,08MAR2107MAR22,,,73H,73H,0720,0900,ALG,ALG,F16Y132             ,F16Y132             
174,0105216106ALG,,08MAR2107MAR22,,,73H,73H,1730,1600,ORN,ORN,F16Y132             ,F16Y132             
175,0105216107ORN,,08MAR2107MAR22,,,73H,73H,0700,0850,ALG,ALG,F16Y132             ,F16Y132             
176,0205216026ALG,,08MAR2107MAR22,,,73H,73H,1715,1620,CZL,CZL,F16Y132             ,F16Y132             
177,0205216106ALG,,08MAR2107MAR22,,,73H,73H,1730,1600,ORN,ORN,F16Y132             ,F16Y132             
178,0305216026ALG,,08MAR2107MAR22,,,73H,73H,1715,1620,CZL,CZL,F16Y132             ,F16Y132             
179,0305216027CZL,,08MAR2107MAR22,,,73H,73H,0720,0900,ALG,ALG,F16Y132             ,F16Y132             
180,0305216106ALG,,08MAR2107MAR22,,,73H,73H,1730,1600,ORN,ORN,F16Y132             ,F16Y132             
181,0305216107ORN,,08MAR2107MAR22,,,73H,73H,0700,0850,ALG,ALG,F16Y132             ,F16Y132             
182,0404216006ALG,,08MAR2107MAR22,,,73H,73H,1800,1815,AAE,AAE,F16Y132             ,F16Y132             
183,0404216156ALG,,08MAR2107MAR22,,,73H,73H,1000,0930,TMX,TMX,F16Y132             ,F16Y132             
184,0404216157TMX,,08MAR2107MAR22,,,73H,73H,1230,1200,ALG,ALG,F16Y132             ,F16Y132             
185,0404216176ALG,08MAR2107MAR22,08MAR2107MAR22,,08MAR2107MAR22,AT7,736,1500,1415,AAE,AAE,Y66                 ,F16Y85              
186,0404216177AAE,08MAR2107MAR22,08MAR2107MAR22,,08MAR2107MAR22,AT7,736,1705,1615,ALG,ALG,Y66                 ,F16Y85              
187,0404216194ALG,08MAR2107MAR22,,,08MAR2107MAR22,736,73H,1405,1405,CZL,CZL,F16Y85              ,F16Y132             
188,0404216195CZL,08MAR2107MAR22,,,08MAR2107MAR22,736,73H,1555,1555,ALG,ALG,F16Y85              ,F16Y132             
189,0405216026ALG,,08MAR2107MAR22,,,73H,73H,1715,1620,CZL,CZL,F16Y132             ,F16Y132             
190,0405216027CZL,,08MAR2107MAR22,,,73H,73H,0720,0900,ALG,ALG,F16Y132             ,F16Y132             
191,0405216106ALG,,08MAR2107MAR22,,,73H,73H,1730,1600,ORN,ORN,F16Y132             ,F16Y132             
192,0405216107ORN,,08MAR2107MAR22,,,73H,73H,0700,0850,ALG,ALG,F16Y132             ,F16Y132             
193,0504216176ALG,08MAR2107MAR22,,,08MAR2107MAR22,AT7,736,1325,1325,AAE,AAE,Y66                 ,F16Y85              
194,0504216177AAE,08MAR2107MAR22,08MAR2107MAR22,,08MAR2107MAR22,AT7,736,1530,1525,ALG,ALG,Y66                 ,F16Y85              
195,0505216026ALG,,08MAR2107MAR22,,,73H,73H,1715,1620,CZL,CZL,F16Y132             ,F16Y132             
196,0505216027CZL,,08MAR2107MAR22,,,73H,73H,0720,0900,ALG,ALG,F16Y132             ,F16Y132             
197,0505216106ALG,,08MAR2107MAR22,,,73H,73H,1730,1600,ORN,ORN,F16Y132             ,F16Y132             
198,0505216107ORN,,08MAR2107MAR22,,,73H,73H,0700,0850,ALG,ALG,F16Y132             ,F16Y132             
199,0604216252ALG,,08MAR2107MAR22,,,736,736,0910,0930,ELU,ELU,F16Y85              ,F16Y85              
200,0604216253ELU,,08MAR2107MAR22,,,736,736,1100,1120,ALG,ALG,F16Y85              ,F16Y85              
201,0605216026ALG,,08MAR2107MAR22,,,73H,73H,1715,1620,CZL,CZL,F16Y132             ,F16Y132             
202,0605216027CZL,,08MAR2107MAR22,,,73H,73H,0720,0900,ALG,ALG,F16Y132             ,F16Y132             
203,0605216106ALG,,08MAR2107MAR22,,,73H,73H,1730,1600,ORN,ORN,F16Y132             ,F16Y132             
204,0605216107ORN,,08MAR2107MAR22,,,73H,73H,0645,0850,ALG,ALG,F16Y132             ,F16Y132             
205,0704216176ALG,08MAR2107MAR22,,,08MAR2107MAR22,AT7,736,1400,1400,AAE,AAE,Y66                 ,F16Y85              
206,0704216177AAE,08MAR2107MAR22,08MAR2107MAR22,,08MAR2107MAR22,AT7,736,1605,1600,ALG,ALG,Y66                 ,F16Y85              
207,0803216032ALG,,,08MAR2107MAR22,,AT7,AT7,0830,0830,TEE,ALG,Y66                 ,Y66                 
208,0803216142ALG,08MAR2107MAR22,,,08MAR2107MAR22,AT7,736,1000,1000,AZR,AZR,Y66                 ,F16Y85              
209,0803216143AZR,08MAR2107MAR22,,,08MAR2107MAR22,AT7,736,1340,1340,ALG,ALG,Y66                 ,F16Y85              
210,0803216304OGX,08MAR2107MAR22,,,,736,73H,1025,1025,VVZ,VVZ,F16Y86              ,F16Y86              
211,0803216304ALG,08MAR2107MAR22,,,,736,73H,0815,0815,OGX,OGX,F16Y86              ,F16Y86              
212,0803216305VVZ,08MAR2107MAR22,,,,736,73H,1235,1235,OGX,OGX,F16Y86              ,F16Y86              
213,0803216305OGX,08MAR2107MAR22,,,,736,73H,1445,1445,ALG,ALG,F16Y86              ,F16Y86              
214,1003216252ALG,08MAR2107MAR22,,,08MAR2107MAR22,AT7,736,0710,0710,ELU,ELU,Y66                 ,F16Y85              
215,1003216253ELU,08MAR2107MAR22,08MAR2107MAR22,,08MAR2107MAR22,AT7,736,0925,0900,ALG,ALG,Y66                 ,F16Y85              
216,1104216006ALG,,08MAR2107MAR22,,,73H,73H,1800,1815,AAE,AAE,F16Y132             ,F16Y132             
217,1104216156ALG,,08MAR2107MAR22,,,73H,73H,1000,0930,TMX,TMX,F16Y132             ,F16Y132             
218,1104216157TMX,,08MAR2107MAR22,,,73H,73H,1230,1200,ALG,ALG,F16Y132             ,F16Y132             
219,1104216176ALG,08MAR2107MAR22,08MAR2107MAR22,,08MAR2107MAR22,AT7,736,1500,1415,AAE,AAE,Y66                 ,F16Y85              
220,1104216177AAE,08MAR2107MAR22,08MAR2107MAR22,,08MAR2107MAR22,AT7,736,1705,1615,ALG,ALG,Y66                 ,F16Y85              
