ID,KEY_FLT,ch_type_app,ch_std,ch_dest,ch_config,Aircraft_Type_x,Aircraft_Type_y,STD_UTC_x,STD_UTC_y,Arrival_Station_x,Arrival_Station_y,Aircraft_Configuration_x,Aircraft_Configuration_y
744,1403216176ALG,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,736,AT7,1415,1500,AAE,AAE,F16Y85              ,Y66                 
745,1403216177AAE,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,736,AT7,1615,1705,ALG,ALG,F16Y85              ,Y66                 
746,1403216194ALG,10FEB2109FEB22,,,10FEB2109FEB22,73H,736,1405,1405,CZL,CZL,F16Y132             ,F16Y85              
747,1403216195CZL,10FEB2109FEB22,,,10FEB2109FEB22,73H,736,1555,1555,ALG,ALG,F16Y132             ,F16Y85              
748,1403216200ALG,,10FEB2109FEB22,,,AT7,AT7,1730,1530,GHA,GHA,Y66                 ,Y66                 
749,1403216201GHA,,10FEB2109FEB22,,,AT7,AT7,0715,0700,ALG,ALG,Y66                 ,Y66                 
750,1403216222ALG,,10FEB2109FEB22,,,AT7,AT7,1620,1550,HME,HME,Y66                 ,Y66                 
751,1403216223HME,,10FEB2109FEB22,,,AT7,AT7,0630,0700,ALG,ALG,Y66                 ,Y66                 
752,1403216252ALG,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,736,AT7,1150,1140,ELU,ELU,F16Y85              ,Y66                 
753,1403216253ELU,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,736,AT7,1350,1355,ALG,ALG,F16Y85              ,Y66                 
754,1403216266ALG,,10FEB2109FEB22,,,AT7,AT7,1020,0925,TGR,TGR,Y66                 ,Y66                 
755,1403216267TGR,,10FEB2109FEB22,,,AT7,AT7,1240,1140,ALG,ALG,Y66                 ,Y66                 
756,1503216026ALG,,10FEB2109FEB22,,,73H,73H,1815,1830,CZL,CZL,F16Y132             ,F16Y132             
757,1503216027CZL,,10FEB2109FEB22,,,73H,73H,0720,0730,ALG,ALG,F16Y132             ,F16Y132             
758,1503216040ALG,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,AT7,73H,1130,1415,BSK,BSK,Y66                 ,F16Y132             
759,1503216041BSK,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,AT7,73H,1320,1605,ALG,ALG,Y66                 ,F16Y132             
760,1503216100ALG,,10FEB2109FEB22,,,73H,73H,1000,1030,ORN,ORN,F16Y132             ,F16Y132             
761,1503216107ORN,,10FEB2109FEB22,,,73H,73H,0700,0745,ALG,ALG,F16Y132             ,F16Y132             
762,1503216140ALG,10FEB2109FEB22,,,10FEB2109FEB22,AT7,736,1400,1400,AZR,AZR,Y66                 ,F16Y86              
763,1503216142ALG,10FEB2109FEB22,,,10FEB2109FEB22,AT7,73H,1000,1000,AZR,AZR,Y66                 ,F16Y132             
764,1503216143AZR,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,AT7,73H,1340,1250,ALG,ALG,Y66                 ,F16Y132             
765,1503216176ALG,10FEB2109FEB22,,,10FEB2109FEB22,736,AT7,1325,1325,AAE,AAE,F16Y85              ,Y66                 
