KEY_FLT,STATUS,ssim_period,index_commercial,ST_SSIM,Airline,Flight_Number,Itinirary_Variation_Indicator,Leg_Sequence_Number,Service_Type,Start_period,End_period,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Departure_Station,PAX_STD_UTC,STD_UTC,STD_Variation_Sign,STD_Variation_UTC,Arrival_Station,STA_UTC,PAX_STA_UTC,STA_Variation_Sign,STA_Variation_UTC,Aircraft_Type,fly_next_number,Aircraft_Configuration,fly_date,arrival_date,vol_commercial_number,vol_commercial_airline,code_ssim,day_op,ch_type_app,ch_std,ch_dest,ch_config
0103216143AZR,MODIFIED,01MAR2128FEB22,3, ,AH,6143,01,01,J,01MAR21,15MAR21,1, , , , , , ,AZR,1340,1340,+,0100,ALG,1630,1630,+,0100,AT7,       ,Y66                 ,2021-03-01,2021-03-01,,,,1.0,12FEB2111FEB22,12FEB2111FEB22,,12FEB2111FEB22
0103216146ALG,,01MAR2128FEB22,3, ,AH,6146,01,01,J,01MAR21,31MAY21,1, , , , , , ,ALG,1030,1030,+,0100,TIN,1300,1300,+,0100,73H,       ,F16Y132             ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216147TIN,,01MAR2128FEB22,3, ,AH,6147,01,01,J,01MAR21,31MAY21,1, , , , , , ,TIN,1400,1400,+,0100,ALG,1620,1620,+,0100,73H,       ,F16Y132             ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216156ALG,,01MAR2128FEB22,3, ,AH,6156,01,01,J,01MAR21,31MAY21,1, , , , , , ,ALG,0930,0930,+,0100,TMX,1100,1100,+,0100,736,       ,F16Y85              ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216157TMX,,01MAR2128FEB22,3, ,AH,6157,01,01,J,01MAR21,31MAY21,1, , , , , , ,TMX,1200,1200,+,0100,ALG,1330,1330,+,0100,736,       ,F16Y85              ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216164AAE,CANCELED,01MAR2128FEB22,3, ,AH,6164,01,01,J,01MAR21,01MAR21,1, , , , , , ,AAE,1500,1500,+,0100,ORN,1700,1700,+,0100,AT7,       ,Y66                 ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216165ORN,CANCELED,01MAR2128FEB22,3, ,AH,6165,01,01,J,01MAR21,01MAR21,1, , , , , , ,ORN,1215,1215,+,0100,AAE,1415,1415,+,0100,AT7,       ,Y66                 ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216168ORN,CANCELED,01MAR2128FEB22,3, ,AH,6168,01,01,J,01MAR21,01MAR21,1, , , , , , ,ORN,0700,0700,+,0100,CZL,0840,0840,+,0100,AT7,       ,Y66                 ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216169CZL,CANCELED,01MAR2128FEB22,3, ,AH,6169,01,01,J,01MAR21,01MAR21,1, , , , , , ,CZL,0930,0930,+,0100,ORN,1125,1125,+,0100,AT7,       ,Y66                 ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216170ALG,,01MAR2128FEB22,3, ,AH,6170,01,01,J,01MAR21,08MAR21,1, , , , ,6,7,ALG,0715,0715,+,0100,AAE,0830,0830,+,0100,AT7,       ,Y66                 ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216171AAE,,01MAR2128FEB22,3, ,AH,6171,01,01,J,01MAR21,14MAR21,1, , , , , ,7,AAE,0920,0920,+,0100,ALG,1040,1040,+,0100,AT7,       ,Y66                 ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216176ALG,,01MAR2128FEB22,3, ,AH,6176,01,01,J,01MAR21,31MAY21,1, , , , , , ,ALG,1325,1325,+,0100,AAE,1440,1440,+,0100,AT7,       ,Y66                 ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216177AAE,,01MAR2128FEB22,3, ,AH,6177,01,01,J,01MAR21,31MAY21,1, , , , , , ,AAE,1530,1530,+,0100,ALG,1650,1650,+,0100,AT7,       ,Y66                 ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216180ALG,,01MAR2128FEB22,3, ,AH,6180,01,01,J,01MAR21,01MAR21,1, , , , , , ,ALG,0630,0630,+,0100,ORN,0745,0745,+,0100,AT7,       ,Y66                 ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216181ORN,,01MAR2128FEB22,3, ,AH,6181,01,01,J,01MAR21,01MAR21,1, , , , , , ,ORN,0835,0835,+,0100,ALG,0950,0950,+,0100,AT7,       ,Y66                 ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216190ALG,,01MAR2128FEB22,3, ,AH,6190,01,01,J,01MAR21,22MAR21,1, , ,4, ,6, ,ALG,0730,0730,+,0100,CZL,0840,0840,+,0100,AT7,       ,Y66                 ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216191CZL,,01MAR2128FEB22,3, ,AH,6191,01,01,J,01MAR21,22MAR21,1, , ,4, ,6, ,CZL,0930,0930,+,0100,ALG,1040,1040,+,0100,AT7,       ,Y66                 ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216192ALG,MODIFIED,01MAR2128FEB22,3, ,AH,6192,01,01,J,01MAR21,31MAY21,1, , , , , , ,ALG,1430,1430,+,0100,CZL,1520,1520,+,0100,736,       ,F16Y85              ,2021-03-01,2021-03-01,,,,1.0,12FEB2111FEB22,,,12FEB2111FEB22
0103216193CZL,MODIFIED,01MAR2128FEB22,3, ,AH,6193,01,01,J,01MAR21,31MAY21,1, , , , , , ,CZL,1620,1620,+,0100,ALG,1710,1710,+,0100,736,       ,F16Y85              ,2021-03-01,2021-03-01,,,,1.0,12FEB2111FEB22,12FEB2111FEB22,,12FEB2111FEB22
0103216200ALG,MODIFIED,01MAR2128FEB22,3, ,AH,6200,01,01,J,01MAR21,31MAY21,1, ,3,4,5,6,7,ALG,1730,1730,+,0100,GHA,1900,1900,+,0100,AT7,       ,Y66                 ,2021-03-01,2021-03-01,,,,1.0,,15FEB2114FEB22,,
0103216201GHA,MODIFIED,01MAR2128FEB22,3, ,AH,6201,01,01,J,01MAR21,27MAR21,1,2, ,4,5,6, ,GHA,0715,0715,+,0100,ALG,0845,0845,+,0100,AT7,       ,Y66                 ,2021-03-01,2021-03-01,,,,1.0,,15FEB2114FEB22,,
0103216218ALG,MODIFIED,01MAR2128FEB22,3, ,AH,6218,01,01,J,01MAR21,01MAR21,1, , , , , , ,ALG,1100,1100,+,0100,OGX,1240,1240,+,0100,AT7,       ,Y66                 ,2021-03-01,2021-03-01,,,,1.0,,15FEB2114FEB22,,
0103216219OGX,MODIFIED,01MAR2128FEB22,3, ,AH,6219,01,01,J,01MAR21,01MAR21,1, , , , , , ,OGX,1330,1330,+,0100,ALG,1510,1510,+,0100,AT7,       ,Y66                 ,2021-03-01,2021-03-01,,,,1.0,,15FEB2114FEB22,,
0103216222ALG,MODIFIED,01MAR2128FEB22,3, ,AH,6222,01,01,J,01MAR21,01MAR21,1, , , , , , ,ALG,1620,1620,+,0100,HME,1800,1800,+,0100,AT7,       ,Y66                 ,2021-03-01,2021-03-01,,,,1.0,,15FEB2114FEB22,,
0103216223HME,MODIFIED,01MAR2128FEB22,3, ,AH,6223,01,01,J,01MAR21,08MAR21,1, , ,4,5, , ,HME,0630,0630,+,0100,ALG,0810,0810,+,0100,AT7,       ,Y66                 ,2021-03-01,2021-03-01,,,,1.0,,15FEB2114FEB22,,
0103216224ALG,CANCELED,01MAR2128FEB22,3, ,AH,6224,01,01,J,01MAR21,01MAR21,1, , , , , , ,ALG,0800,0800,+,0100,HME,0940,0940,+,0100,AT7,       ,Y66                 ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216224HME,CANCELED,01MAR2128FEB22,3, ,AH,6224,01,02,J,01MAR21,01MAR21,1, , , , , , ,HME,1030,1030,+,0100,IAM,1150,1150,+,0100,AT7,       ,Y66                 ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216225IAM,CANCELED,01MAR2128FEB22,3, ,AH,6225,01,01,J,01MAR21,01MAR21,1, , , , , , ,IAM,1240,1240,+,0100,HME,1405,1405,+,0100,AT7,       ,Y66                 ,2021-03-01,2021-03-01,,,,1.0,,,,
