KEY_FLT,STATUS,ssim_period,index_commercial,ST_SSIM,Airline,Flight_Number,Itinirary_Variation_Indicator,Leg_Sequence_Number,Service_Type,Start_period,End_period,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Departure_Station,PAX_STD_UTC,STD_UTC,STD_Variation_Sign,STD_Variation_UTC,Arrival_Station,STA_UTC,PAX_STA_UTC,STA_Variation_Sign,STA_Variation_UTC,Aircraft_Type,fly_next_number,Aircraft_Configuration,fly_date,arrival_date,vol_commercial_number,vol_commercial_airline,code_ssim,day_op,ch_type_app,ch_std,ch_dest,ch_config
0403213060CTU,CANCELED,01MAR2128FEB22,3, ,AH,3060,02,01,J,04MAR21,15APR21, , , ,4, , , ,CTU,1710,1710,+,0800,PEK,2010,2010,+,0800,332,       ,F18C14Y219          ,2021-03-04,2021-03-04,,,,4.0,,,,
0403213061PEK,CANCELED,01MAR2128FEB22,3, ,AH,3061,01,01,J,04MAR21,15APR21, , , ,4, , , ,PEK,2140,2140,+,0800,ALG,1040,1040,+,0100,332,       ,F18C14Y219          ,2021-03-04,2021-03-05,,,,4.0,,,,
0403216000ALG,CANCELED,01MAR2128FEB22,3, ,AH,6000,01,01,J,04MAR21,27MAY21, , , ,4, , , ,ALG,0850,0850,+,0100,AAE,0950,0950,+,0100,73H,       ,F16Y132             ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216001AAE,CANCELED,01MAR2128FEB22,3, ,AH,6001,01,01,J,04MAR21,27MAY21, , , ,4, , , ,AAE,1630,1630,+,0100,ALG,1730,1730,+,0100,73H,       ,F16Y132             ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216006ALG,CANCELED,01MAR2128FEB22,3, ,AH,6006,03,01,J,04MAR21,29MAY21, , , ,4, ,6, ,ALG,1830,1830,+,0100,AAE,1930,1930,+,0100,73H,       ,F16Y132             ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216007AAE,CANCELED,01MAR2128FEB22,3, ,AH,6007,02,01,J,04MAR21,27MAY21, , , ,4, , , ,AAE,0650,0650,+,0100,ALG,0750,0750,+,0100,73H,       ,F16Y132             ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216026ALG,CANCELED,01MAR2128FEB22,3, ,AH,6026,01,01,J,01MAR21,31MAY21,1,2,3,4,5, ,7,ALG,1815,1815,+,0100,CZL,1905,1905,+,0100,73H,       ,F16Y132             ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216027CZL,CANCELED,01MAR2128FEB22,3, ,AH,6027,01,01,J,01MAR21,11MAR21,1,2,3,4, ,6,7,CZL,0720,0720,+,0100,ALG,0810,0810,+,0100,73H,       ,F16Y132             ,2021-03-04,2021-03-04,,,,4.0,,17FEB2116FEB22,,
0403216040ALG,CANCELED,01MAR2128FEB22,3, ,AH,6040,03,01,J,04MAR21,27MAY21, , , ,4, , , ,ALG,0945,0945,+,0100,BSK,1035,1035,+,0100,736,       ,F16Y85              ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216041BSK,CANCELED,01MAR2128FEB22,3, ,AH,6041,03,01,J,04MAR21,27MAY21, , , ,4, , , ,BSK,1135,1135,+,0100,ALG,1225,1225,+,0100,736,       ,F16Y85              ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216052ALG,CANCELED,01MAR2128FEB22,3, ,AH,6052,01,01,J,04MAR21,27MAY21, , , ,4, , , ,ALG,1220,1220,+,0100,BJA,1305,1305,+,0100,AT7,       ,Y66                 ,2021-03-04,2021-03-04,,,,4.0,,15FEB2114FEB22,,
0403216053BJA,CANCELED,01MAR2128FEB22,3, ,AH,6053,01,01,J,04MAR21,27MAY21, , , ,4, , , ,BJA,1355,1355,+,0100,ALG,1440,1440,+,0100,AT7,       ,Y66                 ,2021-03-04,2021-03-04,,,,4.0,,15FEB2114FEB22,,
0403216056ALG,CANCELED,01MAR2128FEB22,3, ,AH,6056,02,01,J,04MAR21,04MAR21, , , ,4, , , ,ALG,0925,0925,+,0100,GJL,1015,1015,+,0100,AT7,       ,Y66                 ,2021-03-04,2021-03-04,,,,4.0,,15FEB2114FEB22,,
0403216057GJL,CANCELED,01MAR2128FEB22,3, ,AH,6057,02,01,J,04MAR21,04MAR21, , , ,4, , , ,GJL,1105,1105,+,0100,ALG,1155,1155,+,0100,AT7,       ,Y66                 ,2021-03-04,2021-03-04,,,,4.0,,15FEB2114FEB22,,
0403216070ALG,CANCELED,01MAR2128FEB22,3, ,AH,6070,02,01,J,04MAR21,18MAR21, , , ,4, , , ,ALG,1145,1145,+,0100,LOO,1255,1255,+,0100,AT7,       ,Y66                 ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216071LOO,CANCELED,01MAR2128FEB22,3, ,AH,6071,02,01,J,04MAR21,18MAR21, , , ,4, , , ,LOO,1345,1345,+,0100,ALG,1450,1450,+,0100,AT7,       ,Y66                 ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216106ALG,CANCELED,01MAR2128FEB22,3, ,AH,6106,01,01,J,01MAR21,31MAY21,1, , ,4, ,6, ,ALG,1830,1830,+,0100,ORN,1930,1930,+,0100,73H,       ,F16Y132             ,2021-03-04,2021-03-04,,,,4.0,,17FEB2116FEB22,,
0403216107ORN,CANCELED,01MAR2128FEB22,3, ,AH,6107,03,01,J,04MAR21,25MAR21, , , ,4, , , ,ORN,0645,0645,+,0100,ALG,0745,0745,+,0100,73H,       ,F16Y132             ,2021-03-04,2021-03-04,,,,4.0,,17FEB2116FEB22,,
0403216132ALG,CANCELED,01MAR2128FEB22,3, ,AH,6132,02,01,J,04MAR21,04MAR21, , , ,4, , , ,ALG,1000,1000,+,0100,CBH,1215,1215,+,0100,AT7,       ,Y66                 ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216133CBH,CANCELED,01MAR2128FEB22,3, ,AH,6133,02,01,J,04MAR21,04MAR21, , , ,4, , , ,CBH,1305,1305,+,0100,ALG,1505,1505,+,0100,AT7,       ,Y66                 ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216141AZR,CANCELED,01MAR2128FEB22,3, ,AH,6141,03,01,J,04MAR21,27MAY21, , , ,4, , , ,AZR,0700,0700,+,0100,ALG,0950,0950,+,0100,AT7,       ,Y66                 ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216142ALG,CANCELED,01MAR2128FEB22,3, ,AH,6142,02,01,J,04MAR21,30MAY21, , , ,4, , ,7,ALG,0900,0900,+,0100,AZR,1050,1050,+,0100,73H,       ,F16Y132             ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216143AZR,CANCELED,01MAR2128FEB22,3, ,AH,6143,02,01,J,04MAR21,30MAY21, , , ,4, , ,7,AZR,1150,1150,+,0100,ALG,1340,1340,+,0100,73H,       ,F16Y132             ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216146ALG,CANCELED,01MAR2128FEB22,3, ,AH,6146,02,01,J,04MAR21,27MAY21, , , ,4, , , ,ALG,0905,0905,+,0100,TIN,1135,1135,+,0100,73H,       ,F16Y132             ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216147TIN,CANCELED,01MAR2128FEB22,3, ,AH,6147,02,01,J,04MAR21,27MAY21, , , ,4, , , ,TIN,1230,1230,+,0100,ALG,1445,1445,+,0100,73H,       ,F16Y132             ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216164AAE,CANCELED,01MAR2128FEB22,3, ,AH,6164,02,01,J,04MAR21,27MAY21, , , ,4, , , ,AAE,1045,1045,+,0100,ORN,1235,1235,+,0100,73H,       ,F16Y132             ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216165ORN,CANCELED,01MAR2128FEB22,3, ,AH,6165,02,01,J,04MAR21,27MAY21, , , ,4, , , ,ORN,1335,1335,+,0100,AAE,1530,1530,+,0100,73H,       ,F16Y132             ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216180ALG,CANCELED,01MAR2128FEB22,3, ,AH,6180,03,01,J,04MAR21,27MAY21, , , ,4, , , ,ALG,0645,0645,+,0100,ORN,0800,0800,+,0100,AT7,       ,Y66                 ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216181ORN,CANCELED,01MAR2128FEB22,3, ,AH,6181,03,01,J,04MAR21,27MAY21, , , ,4, , , ,ORN,0850,0850,+,0100,ALG,1005,1005,+,0100,AT7,       ,Y66                 ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216184ALG,CANCELED,01MAR2128FEB22,3, ,AH,6184,02,01,J,04MAR21,27MAY21, , , ,4, , , ,ALG,1530,1530,+,0100,ORN,1645,1645,+,0100,AT7,       ,Y66                 ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216185ORN,CANCELED,01MAR2128FEB22,3, ,AH,6185,02,01,J,04MAR21,27MAY21, , , ,4, , , ,ORN,1735,1735,+,0100,ALG,1850,1850,+,0100,AT7,       ,Y66                 ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216190ALG,CANCELED,01MAR2128FEB22,3, ,AH,6190,01,01,J,01MAR21,22MAR21,1, , ,4, ,6, ,ALG,0730,0730,+,0100,CZL,0840,0840,+,0100,AT7,       ,Y66                 ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216191CZL,CANCELED,01MAR2128FEB22,3, ,AH,6191,01,01,J,01MAR21,22MAR21,1, , ,4, ,6, ,CZL,0930,0930,+,0100,ALG,1040,1040,+,0100,AT7,       ,Y66                 ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216194ALG,CANCELED,01MAR2128FEB22,3, ,AH,6194,02,01,J,04MAR21,27MAY21, , , ,4, , , ,ALG,1400,1400,+,0100,CZL,1450,1450,+,0100,736,       ,F16Y85              ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216195CZL,CANCELED,01MAR2128FEB22,3, ,AH,6195,02,01,J,04MAR21,27MAY21, , , ,4, , , ,CZL,1550,1550,+,0100,ALG,1640,1640,+,0100,736,       ,F16Y85              ,2021-03-04,2021-03-04,,,,4.0,,16FEB2115FEB22,,
0403216200ALG,CANCELED,01MAR2128FEB22,3, ,AH,6200,01,01,J,01MAR21,31MAY21,1, ,3,4,5,6,7,ALG,1730,1730,+,0100,GHA,1900,1900,+,0100,AT7,       ,Y66                 ,2021-03-04,2021-03-04,,,,4.0,,15FEB2114FEB22,,
0403216201GHA,CANCELED,01MAR2128FEB22,3, ,AH,6201,01,01,J,01MAR21,27MAR21,1,2, ,4,5,6, ,GHA,0715,0715,+,0100,ALG,0845,0845,+,0100,AT7,       ,Y66                 ,2021-03-04,2021-03-04,,,,4.0,,15FEB2114FEB22,,
0403216216ALG,CANCELED,01MAR2128FEB22,3, ,AH,6216,03,01,J,04MAR21,04MAR21, , , ,4, , , ,ALG,1245,1245,+,0100,OGX,1425,1425,+,0100,AT7,       ,Y66                 ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216217OGX,CANCELED,01MAR2128FEB22,3, ,AH,6217,03,01,J,04MAR21,04MAR21, , , ,4, , , ,OGX,1515,1515,+,0100,ALG,1655,1655,+,0100,AT7,       ,Y66                 ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216222ALG,CANCELED,01MAR2128FEB22,3, ,AH,6222,02,01,J,03MAR21,10MAR21,1, ,3,4,5, ,7,ALG,1620,1620,+,0100,HME,1800,1800,+,0100,AT7,       ,Y66                 ,2021-03-04,2021-03-04,,,,4.0,,15FEB2114FEB22,,
0403216223HME,CANCELED,01MAR2128FEB22,3, ,AH,6223,01,01,J,01MAR21,08MAR21,1, , ,4,5, , ,HME,0630,0630,+,0100,ALG,0810,0810,+,0100,AT7,       ,Y66                 ,2021-03-04,2021-03-04,,,,4.0,,15FEB2114FEB22,,
0403216226ALG,CANCELED,01MAR2128FEB22,3, ,AH,6226,02,01,J,04MAR21,27MAY21, , , ,4, , , ,ALG,1040,1040,+,0100,HME,1155,1155,+,0100,AT7,       ,Y66                 ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216227HME,CANCELED,01MAR2128FEB22,3, ,AH,6227,02,01,J,04MAR21,27MAY21, , , ,4, , , ,HME,1245,1245,+,0100,ALG,1400,1400,+,0100,AT7,       ,Y66                 ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216230ALG,CANCELED,01MAR2128FEB22,3, ,AH,6230,02,01,J,04MAR21,27MAY21, , , ,4, , , ,ALG,1110,1110,+,0100,TMR,1330,1330,+,0100,73H,       ,F16Y132             ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216231TMR,CANCELED,01MAR2128FEB22,3, ,AH,6231,02,01,J,04MAR21,27MAY21, , , ,4, , , ,TMR,1425,1425,+,0100,ALG,1700,1700,+,0100,73H,       ,F16Y132             ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216234ORN,CANCELED,01MAR2128FEB22,3, ,AH,6234,01,01,J,04MAR21,04MAR21, , , ,4, , , ,ORN,0800,0800,+,0100,TMR,1030,1030,+,0100,73H,       ,F16Y132             ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216235TMR,CANCELED,01MAR2128FEB22,3, ,AH,6235,01,01,J,04MAR21,04MAR21, , , ,4, , , ,TMR,1130,1130,+,0100,ORN,1345,1345,+,0100,73H,       ,F16Y132             ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216252ALG,CANCELED,01MAR2128FEB22,3, ,AH,6252,03,01,J,04MAR21,27MAY21, , ,3,4, , , ,ALG,0710,0710,+,0100,ELU,0835,0835,+,0100,AT7,       ,Y66                 ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216253ELU,CANCELED,01MAR2128FEB22,3, ,AH,6253,03,01,J,04MAR21,27MAY21, , , ,4, , , ,ELU,1510,1510,+,0100,ALG,1640,1640,+,0100,AT7,       ,Y66                 ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216254ORN,CANCELED,01MAR2128FEB22,3, ,AH,6254,01,01,J,04MAR21,27MAY21, , , ,4, , , ,ORN,1220,1220,+,0100,ELU,1420,1420,+,0100,AT7,       ,Y66                 ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216255ELU,CANCELED,01MAR2128FEB22,3, ,AH,6255,01,01,J,04MAR21,27MAY21, , , ,4, , , ,ELU,0925,0925,+,0100,ORN,1130,1130,+,0100,AT7,       ,Y66                 ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216266ALG,CANCELED,01MAR2128FEB22,3, ,AH,6266,02,01,J,04MAR21,28MAY21, , , ,4,5, , ,ALG,0930,0930,+,0100,TGR,1055,1055,+,0100,AT7,       ,Y66                 ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216267TGR,CANCELED,01MAR2128FEB22,3, ,AH,6267,02,01,J,04MAR21,28MAY21, , , ,4,5, , ,TGR,1145,1145,+,0100,ALG,1310,1310,+,0100,AT7,       ,Y66                 ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216312ALG,CANCELED,01MAR2128FEB22,3, ,AH,6312,01,01,J,04MAR21,04MAR21, , , ,4, , , ,ALG,0700,0700,+,0100,DJG,0915,0915,+,0100,736,       ,F16Y85              ,2021-03-04,2021-03-04,,,,4.0,18FEB2117FEB22,,,18FEB2117FEB22
0403216313OGX,CANCELED,01MAR2128FEB22,3, ,AH,6313,01,02,J,04MAR21,04MAR21, , , ,4, , , ,OGX,1245,1245,+,0100,ALG,1355,1355,+,0100,736,       ,F16Y85              ,2021-03-04,2021-03-04,,,,4.0,18FEB2117FEB22,,,18FEB2117FEB22
0403216313DJG,CANCELED,01MAR2128FEB22,3, ,AH,6313,01,01,J,04MAR21,04MAR21, , , ,4, , , ,DJG,1015,1015,+,0100,OGX,1145,1145,+,0100,736,       ,F16Y85              ,2021-03-04,2021-03-04,,,,4.0,18FEB2117FEB22,,,18FEB2117FEB22
0403216340CZL,CANCELED,01MAR2128FEB22,3, ,AH,6340,02,01,J,04MAR21,04MAR21, , , ,4, , , ,CZL,0700,0700,+,0100,TIN,0955,0955,+,0100,73H,       ,F16Y132             ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216341TIN,CANCELED,01MAR2128FEB22,3, ,AH,6341,02,01,J,04MAR21,04MAR21, , , ,4, , , ,TIN,1050,1050,+,0100,CZL,1315,1315,+,0100,73H,       ,F16Y132             ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216352CZL,CANCELED,01MAR2128FEB22,3, ,AH,6352,01,01,J,04MAR21,04MAR21, , , ,4, , , ,CZL,1415,1415,+,0100,TMR,1615,1615,+,0100,73H,       ,F16Y132             ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216353TMR,CANCELED,01MAR2128FEB22,3, ,AH,6353,01,01,J,04MAR21,04MAR21, , , ,4, , , ,TMR,1715,1715,+,0100,CZL,1915,1915,+,0100,73H,       ,F16Y132             ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216384ORN,CANCELED,01MAR2128FEB22,3, ,AH,6384,03,01,J,04MAR21,04MAR21, , , ,4, , , ,ORN,1445,1445,+,0100,AZR,1610,1610,+,0100,73H,       ,F16Y132             ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216385AZR,CANCELED,01MAR2128FEB22,3, ,AH,6385,03,01,J,04MAR21,04MAR21, , , ,4, , , ,AZR,1710,1710,+,0100,ORN,1840,1840,+,0100,73H,       ,F16Y132             ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216400ORN,CANCELED,01MAR2128FEB22,3, ,AH,6400,01,01,J,04MAR21,27MAY21, , , ,4, , , ,ORN,0700,0700,+,0100,OGX,0900,0900,+,0100,AT7,       ,Y66                 ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216400OGX,CANCELED,01MAR2128FEB22,3, ,AH,6400,01,02,J,04MAR21,27MAY21, , , ,4, , , ,OGX,0950,0950,+,0100,IAM,1120,1120,+,0100,AT7,       ,Y66                 ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216401OGX,CANCELED,01MAR2128FEB22,3, ,AH,6401,01,02,J,04MAR21,27MAY21, , , ,4, , , ,OGX,1430,1430,+,0100,ORN,1615,1615,+,0100,AT7,       ,Y66                 ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216401IAM,CANCELED,01MAR2128FEB22,3, ,AH,6401,01,01,J,04MAR21,27MAY21, , , ,4, , , ,IAM,1210,1210,+,0100,OGX,1340,1340,+,0100,AT7,       ,Y66                 ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216476ALG,CANCELED,01MAR2128FEB22,3, ,AH,6476,02,01,J,04MAR21,27MAY21, , , ,4, , , ,ALG,1000,1000,+,0100,EBH,1110,1110,+,0100,AT7,       ,Y66                 ,2021-03-04,2021-03-04,,,,4.0,,16FEB2115FEB22,,
0403216477EBH,CANCELED,01MAR2128FEB22,3, ,AH,6477,02,01,J,04MAR21,27MAY21, , , ,4, , , ,EBH,1200,1200,+,0100,ALG,1310,1310,+,0100,AT7,       ,Y66                 ,2021-03-04,2021-03-04,,,,4.0,,16FEB2115FEB22,,
0403216486VVZ,CANCELED,01MAR2128FEB22,3, ,AH,6486,01,02,J,04MAR21,27MAY21, , , ,4, , , ,VVZ,1100,1100,+,0100,DJG,1145,1145,+,0100,736,       ,F16Y86              ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216486ALG,CANCELED,01MAR2128FEB22,3, ,AH,6486,01,01,J,04MAR21,27MAY21, , , ,4, , , ,ALG,0805,0805,+,0100,VVZ,1000,1000,+,0100,736,       ,F16Y86              ,2021-03-04,2021-03-04,,,,4.0,,,,
0403216487DJG,CANCELED,01MAR2128FEB22,3, ,AH,6487,01,01,J,04MAR21,27MAY21, , , ,4, , , ,DJG,1245,1245,+,0100,ALG,1500,1500,+,0100,736,       ,F16Y86              ,2021-03-04,2021-03-04,,,,4.0,,,,
0404216006ALG,CANCELED,01MAR2128FEB22,3, ,AH,6006,01,01,J,01MAR21,31MAY21,1,2, , ,5, ,7,ALG,1800,1815,+,0100,AAE,1900,1900,+,0100,73H,       ,F16Y132             ,2021-04-04,2021-04-04,,,,7.0,,08MAR2107MAR22,,
0404216026ALG,CANCELED,01MAR2128FEB22,3, ,AH,6026,01,01,J,01MAR21,31MAY21,1,2,3,4,5, ,7,ALG,1815,1815,+,0100,CZL,1905,1905,+,0100,73H,       ,F16Y132             ,2021-04-04,2021-04-04,,,,7.0,,,,
0404216032ALG,CANCELED,01MAR2128FEB22,3, ,AH,6032,03,01,J,07MAR21,30MAY21, , , , , , ,7,ALG,1215,1215,+,0100,TEE,1330,1330,+,0100,AT7,       ,Y66                 ,2021-04-04,2021-04-04,,,,7.0,,,,
0404216033TEE,CANCELED,01MAR2128FEB22,3, ,AH,6033,03,01,J,07MAR21,30MAY21, , , , , , ,7,TEE,1420,1420,+,0100,ALG,1555,1555,+,0100,AT7,       ,Y66                 ,2021-04-04,2021-04-04,,,,7.0,,,,
0404216038ALG,CANCELED,01MAR2128FEB22,3, ,AH,6038,04,01,J,04APR21,30MAY21, , , , , , ,7,ALG,0730,0730,+,0100,BLJ,0845,0845,+,0100,AT7,       ,F16Y86              ,2021-04-04,2021-04-04,,,,7.0,,,,
0404216039BLJ,CANCELED,01MAR2128FEB22,3, ,AH,6039,04,01,J,04APR21,30MAY21, , , , , , ,7,BLJ,0935,0935,+,0100,ALG,1050,1050,+,0100,AT7,       ,F16Y86              ,2021-04-04,2021-04-04,,,,7.0,,,,
0404216042ALG,CANCELED,01MAR2128FEB22,3, ,AH,6042,02,01,J,07MAR21,30MAY21, , , , , , ,7,ALG,1340,1340,+,0100,BSK,1430,1430,+,0100,736,       ,F16Y85              ,2021-04-04,2021-04-04,,,,7.0,,,,
0404216043BSK,CANCELED,01MAR2128FEB22,3, ,AH,6043,02,01,J,07MAR21,30MAY21, , , , , , ,7,BSK,1530,1530,+,0100,ALG,1620,1620,+,0100,736,       ,F16Y85              ,2021-04-04,2021-04-04,,,,7.0,,,,
0404216070ALG,CANCELED,01MAR2128FEB22,3, ,AH,6070,04,01,J,07MAR21,30MAY21, , , , , , ,7,ALG,1130,1130,+,0100,LOO,1240,1240,+,0100,AT7,       ,Y66                 ,2021-04-04,2021-04-04,,,,7.0,,,,
0404216071LOO,CANCELED,01MAR2128FEB22,3, ,AH,6071,04,01,J,07MAR21,30MAY21, , , , , , ,7,LOO,1330,1330,+,0100,ALG,1435,1435,+,0100,AT7,       ,Y66                 ,2021-04-04,2021-04-04,,,,7.0,,,,
0404216106ALG,CANCELED,01MAR2128FEB22,3, ,AH,6106,02,01,J,02MAR21,30MAY21, ,2,3, ,5, ,7,ALG,1845,1845,+,0100,ORN,1945,1945,+,0100,73H,       ,F16Y132             ,2021-04-04,2021-04-04,,,,7.0,,,,
0404216124ALG,CANCELED,01MAR2128FEB22,3, ,AH,6124,07,01,J,28MAR21,30MAY21, , , , , , ,7,ALG,1150,1150,+,0100,TID,1240,1240,+,0100,AT7,       ,Y66                 ,2021-04-04,2021-04-04,,,,7.0,,,,
0404216125TID,CANCELED,01MAR2128FEB22,3, ,AH,6125,07,01,J,28MAR21,30MAY21, , , , , , ,7,TID,1330,1330,+,0100,ALG,1420,1420,+,0100,AT7,       ,Y66                 ,2021-04-04,2021-04-04,,,,7.0,,,,
0404216128ORN,CANCELED,01MAR2128FEB22,3, ,AH,6128,01,01,J,07MAR21,30MAY21, , , , , , ,7,ORN,0700,0700,+,0100,MZW,0820,0820,+,0100,AT7,       ,Y66                 ,2021-04-04,2021-04-04,,,,7.0,,,,
0404216129MZW,CANCELED,01MAR2128FEB22,3, ,AH,6129,01,01,J,07MAR21,30MAY21, , , , , , ,7,MZW,0910,0910,+,0100,ORN,1035,1035,+,0100,AT7,       ,Y66                 ,2021-04-04,2021-04-04,,,,7.0,,,,
0404216140ALG,CANCELED,01MAR2128FEB22,3, ,AH,6140,03,01,J,07MAR21,30MAY21, , , , , , ,7,ALG,0730,0730,+,0100,AZR,1020,1020,+,0100,AT7,       ,Y66                 ,2021-04-04,2021-04-04,,,,7.0,,,,
0404216142ALG,CANCELED,01MAR2128FEB22,3, ,AH,6142,02,01,J,04MAR21,30MAY21, , , ,4, , ,7,ALG,0900,0900,+,0100,AZR,1050,1050,+,0100,73H,       ,F16Y132             ,2021-04-04,2021-04-04,,,,7.0,,,,
0404216143AZR,CANCELED,01MAR2128FEB22,3, ,AH,6143,02,01,J,04MAR21,30MAY21, , , ,4, , ,7,AZR,1150,1150,+,0100,ALG,1340,1340,+,0100,73H,       ,F16Y132             ,2021-04-04,2021-04-04,,,,7.0,,,,
0404216156ALG,CANCELED,01MAR2128FEB22,3, ,AH,6156,04,01,J,07MAR21,30MAY21, , , , , , ,7,ALG,1000,0915,+,0100,TMX,1130,1130,+,0100,73H,       ,F16Y132             ,2021-04-04,2021-04-04,,,,7.0,,09MAR2108MAR22,,
0404216157TMX,CANCELED,01MAR2128FEB22,3, ,AH,6157,04,01,J,07MAR21,30MAY21, , , , , , ,7,TMX,1230,1145,+,0100,ALG,1400,1400,+,0100,73H,       ,F16Y132             ,2021-04-04,2021-04-04,,,,7.0,,09MAR2108MAR22,,
0404216170ALG,CANCELED,01MAR2128FEB22,3, ,AH,6170,12,01,J,04APR21,31MAY21,1, , , , , ,7,ALG,0715,0715,+,0100,AAE,0830,0830,+,0100,AT7,       ,Y66                 ,2021-04-04,2021-04-04,,,,7.0,,,,
0404216171AAE,CANCELED,01MAR2128FEB22,3, ,AH,6171,10,01,J,21MAR21,31MAY21,1, , , , , ,7,AAE,0920,0920,+,0100,ALG,1040,1040,+,0100,AT7,       ,Y66                 ,2021-04-04,2021-04-04,,,,7.0,,,,
0404216176ALG,CANCELED,01MAR2128FEB22,3, ,AH,6176,08,01,J,20MAR21,30MAY21, , , , , ,6,7,ALG,1500,1415,+,0100,AAE,1615,1615,+,0100,736,       ,F16Y85              ,2021-04-04,2021-04-04,,,,7.0,08MAR2107MAR22,08MAR2107MAR22,,08MAR2107MAR22
0404216177AAE,CANCELED,01MAR2128FEB22,3, ,AH,6177,08,01,J,20MAR21,30MAY21, , , , , ,6,7,AAE,1705,1615,+,0100,ALG,1825,1825,+,0100,736,       ,F16Y85              ,2021-04-04,2021-04-04,,,,7.0,08MAR2107MAR22,08MAR2107MAR22,,08MAR2107MAR22
0404216180ALG,CANCELED,01MAR2128FEB22,3, ,AH,6180,10,01,J,28MAR21,30MAY21, , , , , , ,7,ALG,0740,0740,+,0100,ORN,0855,0855,+,0100,AT7,       ,Y66                 ,2021-04-04,2021-04-04,,,,7.0,,,,
0404216181ORN,CANCELED,01MAR2128FEB22,3, ,AH,6181,10,01,J,28MAR21,30MAY21, , , , , , ,7,ORN,0945,0945,+,0100,ALG,1100,1100,+,0100,AT7,       ,Y66                 ,2021-04-04,2021-04-04,,,,7.0,,,,
0404216184ALG,CANCELED,01MAR2128FEB22,3, ,AH,6184,04,01,J,07MAR21,30MAY21, , , , , , ,7,ALG,1445,1445,+,0100,ORN,1545,1545,+,0100,736,       ,F16Y85              ,2021-04-04,2021-04-04,,,,7.0,,,,
0404216185ORN,CANCELED,01MAR2128FEB22,3, ,AH,6185,03,01,J,07MAR21,30MAY21, , , , , , ,7,ORN,1645,1645,+,0100,ALG,1745,1745,+,0100,736,       ,F16Y85              ,2021-04-04,2021-04-04,,,,7.0,,,,
0404216190ALG,CANCELED,01MAR2128FEB22,3, ,AH,6190,05,01,J,07MAR21,30MAY21, , , , , , ,7,ALG,0945,0945,+,0100,CZL,1035,1035,+,0100,736,       ,F16Y85              ,2021-04-04,2021-04-04,,,,7.0,,,,
0404216191CZL,CANCELED,01MAR2128FEB22,3, ,AH,6191,05,01,J,07MAR21,30MAY21, , , , , , ,7,CZL,1125,1125,+,0100,ALG,1215,1215,+,0100,736,       ,F16Y85              ,2021-04-04,2021-04-04,,,,7.0,,,,
