STATUS,ssim_period,index_commercial,ST_SSIM,Airline,Flight_Number,Itinirary_Variation_Indicator,Leg_Sequence_Number,Service_Type,Start_period,End_period,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Departure_Station,PAX_STD_UTC,STD_UTC,STD_Variation_Sign,STD_Variation_UTC,Arrival_Station,STA_UTC,PAX_STA_UTC,STA_Variation_Sign,STA_Variation_UTC,Aircraft_Type,fly_next_number,Aircraft_Configuration,fly_date,arrival_date,vol_commercial_number,vol_commercial_airline,code_ssim,day_op,KEY_FLT
,02MAR2101MAR22,3, ,AH,6146,01,01,J,04MAR21,27MAY21, , , ,4, , , ,ALG,0905,0905,+,0100,TIN,1135,1135,+,0100,73H,       ,F16Y132             ,2021-04-01,2021-04-01,,,,4.0,0104216146ALG
,02MAR2101MAR22,3, ,AH,6147,01,01,J,04MAR21,27MAY21, , , ,4, , , ,TIN,1230,1230,+,0100,ALG,1445,1445,+,0100,73H,       ,F16Y132             ,2021-04-01,2021-04-01,,,,4.0,0104216147TIN
,02MAR2101MAR22,3, ,AH,6164,01,01,J,04MAR21,27MAY21, , , ,4, , , ,AAE,1045,1045,+,0100,ORN,1235,1235,+,0100,73H,       ,F16Y132             ,2021-04-01,2021-04-01,,,,4.0,0104216164AAE
,02MAR2101MAR22,3, ,AH,6165,01,01,J,04MAR21,27MAY21, , , ,4, , , ,ORN,1335,1335,+,0100,AAE,1530,1530,+,0100,73H,       ,F16Y132             ,2021-04-01,2021-04-01,,,,4.0,0104216165ORN
,02MAR2101MAR22,3, ,AH,6180,02,01,J,04MAR21,27MAY21, , , ,4, , , ,ALG,0645,0645,+,0100,ORN,0800,0800,+,0100,AT7,       ,Y66                 ,2021-04-01,2021-04-01,,,,4.0,0104216180ALG
,02MAR2101MAR22,3, ,AH,6181,02,01,J,04MAR21,27MAY21, , , ,4, , , ,ORN,0850,0850,+,0100,ALG,1005,1005,+,0100,AT7,       ,Y66                 ,2021-04-01,2021-04-01,,,,4.0,0104216181ORN
,02MAR2101MAR22,3, ,AH,6184,02,01,J,04MAR21,27MAY21, , , ,4, , , ,ALG,1530,1530,+,0100,ORN,1645,1645,+,0100,AT7,       ,Y66                 ,2021-04-01,2021-04-01,,,,4.0,0104216184ALG
,02MAR2101MAR22,3, ,AH,6185,02,01,J,04MAR21,27MAY21, , , ,4, , , ,ORN,1735,1735,+,0100,ALG,1850,1850,+,0100,AT7,       ,Y66                 ,2021-04-01,2021-04-01,,,,4.0,0104216185ORN
,02MAR2101MAR22,3, ,AH,6190,07,01,J,27MAR21,31MAY21,1, , ,4, ,6, ,ALG,0730,0730,+,0100,CZL,0840,0840,+,0100,AT7,       ,Y66                 ,2021-04-01,2021-04-01,,,,4.0,0104216190ALG
,02MAR2101MAR22,3, ,AH,6191,07,01,J,27MAR21,31MAY21,1, , ,4, ,6, ,CZL,0930,0930,+,0100,ALG,1040,1040,+,0100,AT7,       ,Y66                 ,2021-04-01,2021-04-01,,,,4.0,0104216191CZL
,02MAR2101MAR22,3, ,AH,6194,02,01,J,04MAR21,27MAY21, , , ,4, , , ,ALG,1400,1400,+,0100,CZL,1450,1450,+,0100,736,       ,F16Y85              ,2021-04-01,2021-04-01,,,,4.0,0104216194ALG
,02MAR2101MAR22,3, ,AH,6195,02,01,J,04MAR21,27MAY21, , , ,4, , , ,CZL,1550,1550,+,0100,ALG,1640,1640,+,0100,736,       ,F16Y85              ,2021-04-01,2021-04-01,,,,4.0,0104216195CZL
,02MAR2101MAR22,3, ,AH,6200,01,01,J,03MAR21,31MAY21,1, ,3,4,5,6,7,ALG,1730,1730,+,0100,GHA,1900,1900,+,0100,AT7,       ,Y66                 ,2021-04-01,2021-04-01,,,,4.0,0104216200ALG
,02MAR2101MAR22,3, ,AH,6201,06,01,J,28MAR21,03APR21,1,2, ,4,5,6,7,GHA,0715,0715,+,0100,ALG,0845,0845,+,0100,AT7,       ,Y66                 ,2021-04-01,2021-04-01,,,,4.0,0104216201GHA
